entry_time,exit_time,side,entry,exit,stop_loss,take_profit,pnl_points,bars_held,exit_reason
2024-02-09 14:00:00+00:00,2024-02-09 18:00:00+00:00,short,47080.0,47680.0,47680.0,47085.87,-600.0,4,stop_loss
2024-02-12 19:00:00+00:00,2024-02-12 20:00:00+00:00,short,49566.0,50166.0,50166.0,49253.68,-600.0,1,stop_loss
2024-02-12 21:00:00+00:00,2024-02-13 03:00:00+00:00,short,49853.0,49790.39,50453.0,49790.39,62.61,6,take_profit
2024-02-14 15:00:00+00:00,2024-02-14 19:00:00+00:00,short,51616.0,51279.96,52216.0,51279.96,336.04,4,take_profit
2024-02-15 12:00:00+00:00,2024-02-15 15:00:00+00:00,short,52325.5,51973.23,52925.5,51973.23,352.27,3,take_profit
2024-02-22 00:00:00+00:00,2024-02-22 01:00:00+00:00,short,51553.5,51208.28,52153.5,51208.28,345.22,1,take_profit
2024-02-27 03:00:00+00:00,2024-02-27 06:00:00+00:00,short,55685.0,56285.0,56285.0,55431.43,-600.0,3,stop_loss
2024-02-27 07:00:00+00:00,2024-02-27 09:00:00+00:00,short,56103.0,56703.0,56703.0,55807.16,-600.0,2,stop_loss
2024-02-29 00:00:00+00:00,2024-02-29 04:00:00+00:00,short,61386.0,61986.0,61986.0,61037.5,-600.0,4,stop_loss
2024-02-29 12:00:00+00:00,2024-02-29 13:00:00+00:00,short,62690.0,62283.68,63290.0,62283.68,406.32,1,take_profit
2024-03-01 19:00:00+00:00,2024-03-01 20:00:00+00:00,short,62233.0,62833.0,62833.0,61851.65,-600.0,1,stop_loss
2024-03-01 21:00:00+00:00,2024-03-02 01:00:00+00:00,short,62541.5,62093.94,63141.5,62093.94,447.56,4,take_profit
2024-03-03 14:00:00+00:00,2024-03-03 16:00:00+00:00,short,62196.0,62796.0,62796.0,61989.73,-600.0,2,stop_loss
2024-03-04 03:00:00+00:00,2024-03-04 07:00:00+00:00,short,63485.5,64085.5,64085.5,63294.54,-600.0,4,stop_loss
2024-03-05 02:00:00+00:00,2024-03-05 04:00:00+00:00,short,68226.0,67429.84,68826.0,67429.84,796.16,2,take_profit
2024-03-06 09:00:00+00:00,2024-03-06 10:00:00+00:00,short,66170.5,66770.5,66770.5,65515.02,-600.0,1,stop_loss
2024-03-06 18:00:00+00:00,2024-03-06 21:00:00+00:00,short,67118.0,66397.7,67718.0,66397.7,720.3,3,take_profit
2024-03-07 12:00:00+00:00,2024-03-07 14:00:00+00:00,short,66765.0,67365.0,67365.0,66521.75,-600.0,2,stop_loss
2024-03-08 15:00:00+00:00,2024-03-08 16:00:00+00:00,short,67844.5,67094.04,68444.5,67094.04,750.46,1,take_profit
2024-03-11 13:00:00+00:00,2024-03-11 14:00:00+00:00,short,71523.0,72123.0,72123.0,71121.36,-600.0,1,stop_loss
2024-03-11 15:00:00+00:00,2024-03-11 16:00:00+00:00,short,72004.0,72604.0,72604.0,71464.08,-600.0,1,stop_loss
2024-03-11 22:00:00+00:00,2024-03-12 00:00:00+00:00,short,72496.0,72060.08,73096.0,72060.08,435.92,2,take_profit
2024-03-13 11:00:00+00:00,2024-03-13 12:00:00+00:00,short,73107.0,72707.12,73707.0,72707.12,399.88,1,take_profit
2024-03-13 20:00:00+00:00,2024-03-14 00:00:00+00:00,short,73099.5,72809.23,73699.5,72809.23,290.27,4,take_profit
2024-03-14 23:00:00+00:00,2024-03-15 00:00:00+00:00,short,71409.0,72009.0,72009.0,70819.77,-600.0,1,stop_loss
2024-03-15 01:00:00+00:00,2024-03-15 02:00:00+00:00,short,71678.0,70273.03,72278.0,70273.03,1404.97,1,take_profit
2024-03-15 19:00:00+00:00,2024-03-15 20:00:00+00:00,short,69000.0,67881.21,69600.0,67881.21,1118.79,1,take_profit
2024-03-16 01:00:00+00:00,2024-03-16 04:00:00+00:00,short,69406.0,68871.01,70006.0,68871.01,534.99,3,take_profit
2024-03-17 20:00:00+00:00,2024-03-18 00:00:00+00:00,short,68317.5,67807.87,68917.5,67807.87,509.63,4,take_profit
2024-03-18 06:00:00+00:00,2024-03-18 08:00:00+00:00,short,68498.0,67833.72,69098.0,67833.72,664.28,2,take_profit
2024-03-19 18:00:00+00:00,2024-03-19 20:00:00+00:00,short,64736.0,63857.07,65336.0,63857.07,878.93,2,take_profit
2024-03-20 08:00:00+00:00,2024-03-20 09:00:00+00:00,short,62709.5,63309.5,63309.5,62158.34,-600.0,1,stop_loss
2024-03-20 10:00:00+00:00,2024-03-20 11:00:00+00:00,short,63045.5,63645.5,63645.5,62504.94,-600.0,1,stop_loss
2024-03-20 13:00:00+00:00,2024-03-20 14:00:00+00:00,short,63621.0,64221.0,64221.0,62964.56,-600.0,1,stop_loss
2024-03-20 15:00:00+00:00,2024-03-20 16:00:00+00:00,short,63664.5,62835.22,64264.5,62835.22,829.28,1,take_profit
2024-03-21 02:00:00+00:00,2024-03-21 03:00:00+00:00,short,67565.5,66780.87,68165.5,66780.87,784.63,1,take_profit
2024-03-22 07:00:00+00:00,2024-03-22 08:00:00+00:00,short,66197.5,65854.31,66797.5,65854.31,343.19,1,take_profit
2024-03-23 02:00:00+00:00,2024-03-23 03:00:00+00:00,short,63886.0,63295.38,64486.0,63295.38,590.62,1,take_profit
2024-03-23 13:00:00+00:00,2024-03-23 14:00:00+00:00,short,64606.0,65206.0,65206.0,64267.7,-600.0,1,stop_loss
2024-03-23 18:00:00+00:00,2024-03-23 19:00:00+00:00,short,65394.0,64878.96,65994.0,64878.96,515.04,1,take_profit
2024-03-24 13:00:00+00:00,2024-03-24 17:00:00+00:00,short,65372.0,65032.44,65972.0,65032.44,339.56,4,take_profit
2024-03-25 00:00:00+00:00,2024-03-25 03:00:00+00:00,short,66616.5,67216.5,67216.5,66380.86,-600.0,3,stop_loss
2024-03-25 06:00:00+00:00,2024-03-25 07:00:00+00:00,short,67163.0,66782.22,67763.0,66782.22,380.78,1,take_profit
2024-03-26 03:00:00+00:00,2024-03-26 07:00:00+00:00,short,70468.0,71068.0,71068.0,70238.39,-600.0,4,stop_loss
2024-03-26 10:00:00+00:00,2024-03-26 13:00:00+00:00,short,70920.0,70430.27,71520.0,70430.27,489.73,3,take_profit
2024-03-27 01:00:00+00:00,2024-03-27 04:00:00+00:00,short,70362.5,70071.84,70962.5,70071.84,290.66,3,take_profit
2024-03-28 01:00:00+00:00,2024-03-28 02:00:00+00:00,short,69466.5,69079.19,70066.5,69079.19,387.31,1,take_profit
2024-04-03 05:00:00+00:00,2024-04-03 11:00:00+00:00,short,66096.5,65901.74,66696.5,65901.74,194.76,6,take_profit
2024-04-04 01:00:00+00:00,2024-04-04 02:00:00+00:00,short,66161.5,65750.92,66761.5,65750.92,410.58,1,take_profit
2024-04-05 01:00:00+00:00,2024-04-05 02:00:00+00:00,short,68190.0,67724.31,68790.0,67724.31,465.69,1,take_profit
2024-04-07 04:00:00+00:00,2024-04-07 16:00:00+00:00,short,69323.5,69923.5,69923.5,69334.31,-600.0,12,stop_loss
