timeframe,entry_mode,stop_loss_points,min_distance_from_ema_low,take_profit_mode,fixed_rr,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_exits,stop_loss_exits
1h,signal_close,600.0,300.0,ema_low,,716,426,290,59.5,27528.39,38.45,1.163,-8701.61,2.89,435,281
1h,signal_close,800.0,150.0,ema_low,,1022,696,326,68.1,27234.66,26.65,1.119,-18445.73,3.35,741,280
1h,signal_close,600.0,400.0,ema_low,,487,279,208,57.29,26854.98,55.14,1.222,-5752.82,2.95,286,201
1h,signal_close,800.0,300.0,ema_low,,687,447,240,65.07,26852.21,39.09,1.154,-12836.84,3.37,472,215
1h,next_open,800.0,150.0,ema_low,,1021,695,326,68.07,26652.39,26.1,1.117,-18467.73,2.34,740,280
1h,signal_close,800.0,400.0,ema_low,,472,298,174,63.14,26318.78,55.76,1.207,-7666.94,3.46,315,157
1h,signal_close,500.0,300.0,ema_low,,730,403,327,55.21,25888.58,35.46,1.16,-6397.38,2.62,406,324
1h,signal_close,600.0,150.0,ema_low,,1069,675,394,63.14,25798.5,24.13,1.114,-13305.63,2.93,693,375
1h,next_open,600.0,300.0,ema_low,,715,425,290,59.44,25704.17,35.95,1.152,-8665.11,1.91,434,281
1h,next_open,800.0,300.0,ema_low,,685,445,240,64.96,25609.24,37.39,1.147,-12804.34,2.36,470,215
1h,signal_close,500.0,400.0,ema_low,,496,263,233,53.02,25549.9,51.51,1.222,-5316.33,2.64,266,230
1h,next_open,500.0,300.0,ema_low,,730,403,327,55.21,25322.58,34.69,1.156,-6361.38,1.63,406,324
1h,next_open,800.0,400.0,ema_low,,471,298,173,63.27,25169.0,53.44,1.198,-7633.44,2.46,314,157
1h,next_open,500.0,400.0,ema_low,,496,263,233,53.02,24983.9,50.37,1.217,-5284.33,1.64,266,230
1h,next_open,600.0,150.0,ema_low,,1069,675,394,63.14,24685.22,23.09,1.109,-13325.13,1.94,693,375
1h,next_open,500.0,150.0,ema_low,,1097,651,446,59.34,24559.54,22.39,1.112,-9090.35,1.65,659,437
1h,next_open,600.0,400.0,ema_low,,486,278,208,57.2,24298.15,50.0,1.2,-5733.32,1.96,284,202
1h,signal_close,1000.0,300.0,ema_low,,666,451,215,67.72,24199.83,36.34,1.138,-17983.3,3.73,497,169
1h,signal_close,600.0,50.0,ema_low,,1159,744,415,64.19,23600.42,20.36,1.1,-13729.87,2.91,767,391
1h,signal_close,1000.0,150.0,ema_low,,984,690,294,70.12,23362.41,23.74,1.102,-21646.27,3.7,766,217
1h,next_open,1000.0,300.0,ema_low,,666,451,215,67.72,23254.14,34.92,1.133,-17846.3,2.72,496,170
1h,signal_close,600.0,100.0,ema_low,,1125,715,410,63.56,23236.16,20.65,1.099,-13981.05,2.92,737,387
1h,signal_close,500.0,150.0,ema_low,,1098,649,449,59.11,23004.64,20.95,1.104,-9070.85,2.64,657,440
1h,next_open,1000.0,150.0,ema_low,,985,691,294,70.15,22834.91,23.18,1.1,-21653.77,2.69,766,218
