window,tp_ema_low,entry_mode,stop_loss_points,min_distance_from_ema7_low,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_hits,stop_loss_hits,end_of_data
2y,8,next_open,600.0,400.0,415,230,185,55.42,20923.41,50.42,1.192,-6225.44,2.18,233,182,0
2y,8,next_open,500.0,400.0,425,216,209,50.82,20341.31,47.86,1.196,-6228.6,1.82,218,207,0
2y,8,signal_close,500.0,400.0,425,216,209,50.82,20208.31,47.55,1.195,-6291.1,2.82,218,207,0
2y,8,signal_close,600.0,400.0,415,229,186,55.18,20198.7,48.67,1.184,-6267.44,3.14,232,183,0
2y,8,next_open,800.0,400.0,403,249,154,61.79,20140.02,49.98,1.173,-9585.88,2.75,258,145,0
2y,8,signal_close,800.0,400.0,403,249,154,61.79,19898.52,49.38,1.171,-9605.38,3.75,258,145,0
2y,8,next_open,600.0,300.0,610,349,261,57.21,18562.6,30.43,1.121,-10928.86,2.12,354,256,0
2y,8,next_open,800.0,150.0,854,571,283,66.86,18473.76,21.63,1.089,-21748.12,2.52,596,257,1
2y,8,signal_close,800.0,150.0,854,570,284,66.74,17869.26,20.92,1.086,-21727.12,3.52,596,257,1
2y,8,next_open,800.0,300.0,584,370,214,63.36,17647.88,30.22,1.11,-16307.18,2.64,384,200,0
2y,8,signal_close,800.0,300.0,585,371,214,63.42,17469.86,29.86,1.108,-16338.68,3.64,385,200,0
2y,8,signal_close,600.0,300.0,611,348,263,56.96,17231.38,28.2,1.111,-10945.36,3.09,353,258,0
2y,8,next_open,600.0,150.0,891,545,346,61.17,16948.39,19.02,1.084,-15332.19,2.08,554,336,1
2y,8,next_open,500.0,300.0,624,327,297,52.4,16189.84,25.95,1.11,-7735.3,1.81,329,295,0
2y,8,signal_close,500.0,300.0,624,327,297,52.4,16038.34,25.7,1.109,-7754.3,2.81,329,295,0
2y,8,next_open,600.0,50.0,955,594,361,62.2,15963.47,16.72,1.076,-15769.38,2.06,606,348,1
2y,8,next_open,800.0,50.0,911,612,299,67.18,14806.79,16.25,1.068,-22585.31,2.49,643,267,1
2y,8,next_open,500.0,150.0,918,521,397,56.75,14757.03,16.08,1.075,-11052.11,1.75,525,392,1
2y,8,signal_close,1000.0,300.0,569,376,193,66.08,14710.67,25.85,1.09,-21016.52,4.02,410,159,0
2y,8,next_open,600.0,100.0,931,572,359,61.44,14682.08,15.77,1.071,-16007.84,2.08,584,346,1
2y,8,signal_close,600.0,150.0,892,542,350,60.76,14483.3,16.24,1.071,-15309.19,3.06,552,339,1
