window,tp_ema_low,entry_mode,stop_loss_points,min_distance_from_ema7_low,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_hits,stop_loss_hits,end_of_data
6m,8,next_open,1000.0,150.0,194,147,47,75.77,12646.61,65.19,1.339,-5221.22,3.02,158,35,1
6m,8,signal_close,1000.0,150.0,194,147,47,75.77,12506.61,64.47,1.335,-5321.22,4.02,158,35,1
6m,8,next_open,1000.0,100.0,204,154,50,75.49,12340.63,60.49,1.321,-5351.92,2.98,167,36,1
6m,8,signal_close,1000.0,100.0,204,154,50,75.49,12193.13,59.77,1.317,-5455.42,3.98,167,36,1
6m,8,next_open,1000.0,50.0,208,158,50,75.96,12164.02,58.48,1.311,-5498.49,2.92,170,37,1
6m,8,signal_close,1000.0,50.0,208,158,50,75.96,12003.02,57.71,1.307,-5633.49,3.92,170,37,1
6m,8,next_open,800.0,50.0,217,158,59,72.81,11736.83,54.09,1.287,-5330.01,2.59,166,50,1
6m,8,signal_close,800.0,50.0,217,158,59,72.81,11547.33,53.21,1.282,-5473.01,3.59,166,50,1
6m,8,next_open,800.0,100.0,212,154,58,72.64,11461.35,54.06,1.282,-5462.7,2.62,161,50,1
6m,8,next_open,800.0,150.0,201,146,55,72.64,11414.41,56.79,1.287,-5685.31,2.66,151,49,1
6m,8,signal_close,800.0,100.0,212,154,58,72.64,11287.35,53.24,1.277,-5590.2,3.6,161,50,1
6m,8,signal_close,800.0,150.0,201,146,55,72.64,11247.91,55.96,1.283,-5811.31,3.64,151,49,1
6m,8,next_open,600.0,100.0,222,151,71,68.02,11073.32,49.88,1.278,-5401.76,2.19,155,66,1
6m,8,next_open,600.0,50.0,227,155,72,68.28,10996.45,48.44,1.272,-5783.67,2.2,159,67,1
6m,8,signal_close,600.0,100.0,222,150,72,67.57,10318.6,46.48,1.255,-5495.76,3.14,154,67,1
6m,8,next_open,600.0,150.0,209,140,69,66.99,10304.65,49.3,1.264,-5880.5,2.21,143,65,1
6m,8,signal_close,600.0,50.0,228,155,73,67.98,10279.95,45.09,1.251,-5900.67,3.16,159,68,1
6m,8,next_open,500.0,100.0,230,147,83,63.91,10141.06,44.09,1.256,-3855.4,1.81,150,79,1
6m,8,signal_close,600.0,150.0,209,139,70,66.51,9556.94,45.73,1.241,-5973.0,3.16,142,66,1
6m,8,signal_close,500.0,100.0,230,146,84,63.48,9218.79,40.08,1.229,-3945.9,2.8,149,80,1
6m,8,next_open,500.0,50.0,239,153,86,64.02,9128.03,38.19,1.22,-4078.84,1.78,155,83,1
6m,8,next_open,500.0,150.0,215,134,81,62.33,8919.52,41.49,1.228,-4333.74,1.8,136,78,1
6m,8,signal_close,500.0,50.0,239,152,87,63.6,8192.27,34.28,1.195,-4106.97,2.77,154,84,1
6m,8,next_open,1000.0,200.0,170,124,46,72.94,8062.79,47.43,1.217,-6190.11,3.27,134,35,1
6m,8,signal_close,500.0,150.0,215,133,82,61.86,8003.25,37.22,1.202,-4420.74,2.8,135,79,1
