window,tp_ema_low,entry_mode,stop_loss_points,min_distance_from_ema7_low,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_hits,stop_loss_hits,end_of_data
2y,7,signal_close,200.0,50.0,1100,387,713,35.18,-1820.22,-1.65,0.987,-11886.43,1.55,386,713,1
2y,7,signal_close,200.0,100.0,1064,363,701,34.12,-2804.18,-2.64,0.98,-12729.51,1.56,362,701,1
2y,7,signal_close,200.0,150.0,1001,334,667,33.37,-391.53,-0.39,0.997,-11496.58,1.55,333,667,1
2y,7,signal_close,200.0,200.0,894,286,608,31.99,1833.75,2.05,1.015,-10078.36,1.55,285,608,1
2y,7,signal_close,200.0,300.0,654,189,465,28.9,3156.88,4.83,1.034,-8326.97,1.53,189,465,0
2y,7,signal_close,200.0,400.0,440,124,316,28.18,8768.16,19.93,1.139,-4161.77,1.51,124,316,0
2y,7,signal_close,200.0,600.0,174,29,145,16.67,-5305.22,-30.49,0.817,-6715.63,1.4,29,145,0
2y,7,signal_close,300.0,50.0,1067,486,581,45.55,594.28,0.56,1.003,-13273.9,1.92,486,580,1
2y,7,signal_close,300.0,100.0,1037,462,575,44.55,-576.09,-0.56,0.997,-13732.89,1.92,462,574,1
2y,7,signal_close,300.0,150.0,978,431,547,44.07,2946.25,3.01,1.018,-12216.87,1.91,430,547,1
2y,7,signal_close,300.0,200.0,876,369,507,42.12,2720.04,3.11,1.018,-12120.99,1.93,368,507,1
2y,7,signal_close,300.0,300.0,647,251,396,38.79,4470.6,6.91,1.038,-9356.47,1.92,251,396,0
2y,7,signal_close,300.0,400.0,436,163,273,37.39,9629.73,22.09,1.118,-5186.96,1.89,163,273,0
2y,7,signal_close,300.0,600.0,174,45,129,25.86,-4365.77,-25.09,0.887,-7286.34,1.73,45,129,0
2y,7,signal_close,400.0,50.0,1032,554,478,53.68,8049.26,7.8,1.042,-9631.07,2.21,556,475,1
2y,7,signal_close,400.0,100.0,1004,532,472,52.99,7601.44,7.57,1.04,-9978.91,2.23,534,469,1
2y,7,signal_close,400.0,150.0,948,497,451,52.43,10733.64,11.32,1.06,-10523.34,2.23,498,449,1
2y,7,signal_close,400.0,200.0,851,428,423,50.29,8507.29,10.0,1.05,-8507.11,2.25,428,422,1
2y,7,signal_close,400.0,300.0,634,302,332,47.63,12655.58,19.96,1.096,-8433.28,2.24,303,331,0
2y,7,signal_close,400.0,400.0,430,195,235,45.35,14156.49,32.92,1.151,-5809.76,2.19,196,234,0
2y,7,signal_close,400.0,600.0,172,60,112,34.88,-480.99,-2.8,0.989,-9403.69,2.05,60,112,0
2y,7,signal_close,500.0,50.0,999,602,397,60.26,20235.89,20.26,1.104,-9295.09,2.54,609,389,1
2y,7,signal_close,500.0,100.0,971,579,392,59.63,20277.86,20.88,1.106,-9546.27,2.57,587,383,1
2y,7,signal_close,500.0,150.0,921,547,374,59.39,23073.47,25.05,1.125,-9070.85,2.56,551,369,1
2y,7,signal_close,500.0,200.0,829,475,354,57.3,19002.71,22.92,1.108,-8212.63,2.6,478,350,1
2y,7,signal_close,500.0,300.0,624,346,278,55.45,23812.65,38.16,1.172,-6397.38,2.59,348,276,0
2y,7,signal_close,500.0,400.0,425,229,196,53.88,25551.49,60.12,1.263,-4749.21,2.59,231,194,0
2y,7,signal_close,500.0,600.0,171,75,96,43.86,4175.33,24.42,1.087,-7930.52,2.55,75,96,0
2y,7,signal_close,600.0,50.0,965,617,348,63.94,21939.92,22.74,1.11,-13729.87,2.83,634,330,1
2y,7,signal_close,600.0,100.0,940,594,346,63.19,20644.47,21.96,1.104,-13981.05,2.84,611,328,1
2y,7,signal_close,600.0,150.0,898,566,332,63.03,23042.57,25.66,1.12,-13305.63,2.84,579,318,1
2y,7,signal_close,600.0,200.0,810,495,315,61.11,18084.92,22.33,1.099,-11851.04,2.87,505,304,1
2y,7,signal_close,600.0,300.0,612,363,249,59.31,23304.82,38.08,1.16,-8701.61,2.85,370,242,0
2y,7,signal_close,600.0,400.0,416,239,177,57.45,24369.53,58.58,1.236,-5752.82,2.88,244,172,0
2y,7,signal_close,600.0,600.0,169,83,86,49.11,5875.14,34.76,1.115,-6750.06,2.95,84,85,0
2y,7,signal_close,800.0,50.0,919,627,292,68.23,19619.73,21.35,1.096,-19269.97,3.24,668,250,1
2y,7,signal_close,800.0,100.0,899,609,290,67.74,18721.48,20.82,1.092,-19521.15,3.25,649,249,1
2y,7,signal_close,800.0,150.0,861,586,275,68.06,23476.13,27.27,1.12,-18445.73,3.25,620,240,1
2y,7,signal_close,800.0,200.0,775,513,262,66.19,16456.08,21.23,1.087,-17974.35,3.31,542,232,1
2y,7,signal_close,800.0,300.0,587,381,206,64.91,22405.16,38.17,1.149,-12836.84,3.33,401,186,0
2y,7,signal_close,800.0,400.0,405,257,148,63.46,24193.62,59.74,1.222,-7666.94,3.4,270,135,0
2y,7,signal_close,800.0,600.0,166,93,73,56.02,5555.95,33.47,1.1,-7396.23,3.49,97,69,0
2y,7,signal_close,1000.0,50.0,886,623,263,70.32,15141.98,17.09,1.074,-23320.26,3.56,689,196,1
2y,7,signal_close,1000.0,100.0,867,605,262,69.78,14292.83,16.49,1.07,-23622.69,3.59,671,195,1
2y,7,signal_close,1000.0,150.0,830,581,249,70.0,18726.16,22.56,1.095,-21646.27,3.58,641,188,1
2y,7,signal_close,1000.0,200.0,747,512,235,68.54,13779.24,18.45,1.073,-20974.89,3.67,565,181,1
2y,7,signal_close,1000.0,300.0,572,386,186,67.48,18863.58,32.98,1.124,-17983.3,3.67,424,148,0
2y,7,signal_close,1000.0,400.0,398,264,134,66.33,17049.87,42.84,1.148,-8876.31,3.71,285,113,0
2y,7,signal_close,1000.0,600.0,163,97,66,59.51,86.11,0.53,1.001,-11508.03,3.82,102,61,0
2y,7,next_open,200.0,50.0,1099,392,707,35.67,1015.88,0.92,1.007,-10256.76,0.55,391,707,1
2y,7,next_open,200.0,100.0,1063,368,695,34.62,27.92,0.03,1.0,-10815.11,0.56,367,695,1
2y,7,next_open,200.0,150.0,1000,338,662,33.8,1921.69,1.92,1.015,-10049.96,0.55,337,662,1
2y,7,next_open,200.0,200.0,893,290,603,32.47,4079.46,4.57,1.034,-8314.37,0.55,289,603,1
2y,7,next_open,200.0,300.0,654,191,463,29.2,4347.68,6.65,1.047,-6597.22,0.54,191,463,0
2y,7,next_open,200.0,400.0,440,125,315,28.41,9488.78,21.57,1.151,-3142.13,0.52,125,315,0
2y,7,next_open,200.0,600.0,174,30,144,17.24,-4582.25,-26.33,0.841,-6728.13,0.41,30,144,0
2y,7,next_open,300.0,50.0,1067,490,577,45.92,2110.66,1.98,1.012,-13428.49,0.92,489,577,1
2y,7,next_open,300.0,100.0,1037,466,571,44.94,929.79,0.9,1.005,-13886.99,0.93,465,571,1
2y,7,next_open,300.0,150.0,978,435,543,44.48,4662.38,4.77,1.029,-12132.71,0.92,434,543,1
2y,7,next_open,300.0,200.0,876,372,504,42.47,3965.81,4.53,1.026,-12069.83,0.93,371,504,1
2y,7,next_open,300.0,300.0,647,253,394,39.1,5225.6,8.08,1.044,-9264.81,0.93,253,394,0
2y,7,next_open,300.0,400.0,436,164,272,37.61,9848.89,22.59,1.121,-4830.02,0.89,164,272,0
2y,7,next_open,300.0,600.0,174,45,129,25.86,-4999.47,-28.73,0.871,-7935.53,0.74,45,129,0
2y,7,next_open,400.0,50.0,1033,556,477,53.82,8902.1,8.62,1.047,-10309.42,1.21,558,474,1
