entry_time,exit_time,side,entry,exit,stop_loss,take_profit,pnl_points,bars_held,exit_reason
2026-07-03 13:00:00+00:00,2026-07-03 14:00:00+00:00,short,61961.5,61709.39,62361.5,61709.39,252.11,1,take_profit
2026-07-03 23:00:00+00:00,2026-07-04 05:00:00+00:00,short,62555.0,62436.41,62955.0,62436.41,118.59,6,take_profit
2026-07-04 23:00:00+00:00,2026-07-04 23:00:00+00:00,short,63175.5,62989.06,63575.5,62989.06,186.44,0,take_profit
2026-07-05 09:00:00+00:00,2026-07-05 09:00:00+00:00,short,62905.5,62663.49,63305.5,62663.49,242.01,0,take_profit
2026-07-06 02:00:00+00:00,2026-07-06 03:00:00+00:00,short,63551.0,63174.53,63951.0,63174.53,376.47,1,take_profit
2026-07-07 00:00:00+00:00,2026-07-07 02:00:00+00:00,short,64034.5,63625.42,64434.5,63625.42,409.08,2,take_profit
2026-07-07 19:00:00+00:00,2026-07-07 19:00:00+00:00,short,63659.0,63445.85,64059.0,63445.85,213.15,0,take_profit
2026-07-09 00:00:00+00:00,2026-07-09 00:00:00+00:00,short,62261.0,62034.67,62661.0,62034.67,226.33,0,take_profit
2026-07-09 11:00:00+00:00,2026-07-09 12:00:00+00:00,short,62763.0,62518.88,63163.0,62518.88,244.12,1,take_profit
2026-07-09 22:00:00+00:00,2026-07-09 23:00:00+00:00,short,63255.0,63244.0,63655.0,63028.64,11.0,1,end_of_data
