timeframe,entry_mode,stop_loss_points,min_distance_from_ema_low,take_profit_mode,fixed_rr,trades,wins,losses,win_rate_pct,net_points,avg_points,profit_factor,max_drawdown_points,avg_bars_held,take_profit_exits,stop_loss_exits
1h,signal_close,600.0,300.0,fixed_rr,3.0,3,2,1,66.67,3000.0,1000.0,6.0,-600.0,21.0,2,1
1h,next_open,600.0,300.0,fixed_rr,3.0,3,2,1,66.67,3000.0,1000.0,6.0,-600.0,20.0,2,1
1h,signal_close,1000.0,300.0,fixed_rr,2.0,3,2,1,66.67,3000.0,1000.0,4.0,-1000.0,31.0,2,1
1h,next_open,1000.0,300.0,fixed_rr,2.0,3,2,1,66.67,3000.0,1000.0,4.0,-1000.0,30.0,2,1
1h,signal_close,500.0,300.0,fixed_rr,3.0,3,2,1,66.67,2500.0,833.33,6.0,-500.0,19.0,2,1
1h,next_open,500.0,300.0,fixed_rr,3.0,3,2,1,66.67,2500.0,833.33,6.0,-500.0,18.0,2,1
1h,signal_close,800.0,300.0,fixed_rr,2.0,3,2,1,66.67,2400.0,800.0,4.0,-800.0,21.0,2,1
1h,next_open,800.0,300.0,fixed_rr,2.0,3,2,1,66.67,2400.0,800.0,4.0,-800.0,20.0,2,1
1h,next_open,400.0,50.0,ema_low,,10,10,0,100.0,2279.32,227.93,inf,0.0,1.2,9,0
1h,next_open,400.0,100.0,ema_low,,10,10,0,100.0,2279.32,227.93,inf,0.0,1.2,9,0
1h,next_open,400.0,150.0,ema_low,,10,10,0,100.0,2279.32,227.93,inf,0.0,1.2,9,0
1h,next_open,500.0,50.0,ema_low,,10,10,0,100.0,2279.32,227.93,inf,0.0,1.2,9,0
1h,next_open,500.0,100.0,ema_low,,10,10,0,100.0,2279.32,227.93,inf,0.0,1.2,9,0
1h,next_open,500.0,150.0,ema_low,,10,10,0,100.0,2279.32,227.93,inf,0.0,1.2,9,0
1h,next_open,600.0,50.0,ema_low,,10,10,0,100.0,2279.32,227.93,inf,0.0,1.2,9,0
1h,next_open,600.0,100.0,ema_low,,10,10,0,100.0,2279.32,227.93,inf,0.0,1.2,9,0
1h,next_open,600.0,150.0,ema_low,,10,10,0,100.0,2279.32,227.93,inf,0.0,1.2,9,0
1h,next_open,800.0,50.0,ema_low,,10,10,0,100.0,2279.32,227.93,inf,0.0,1.2,9,0
1h,next_open,800.0,100.0,ema_low,,10,10,0,100.0,2279.32,227.93,inf,0.0,1.2,9,0
1h,next_open,800.0,150.0,ema_low,,10,10,0,100.0,2279.32,227.93,inf,0.0,1.2,9,0
1h,next_open,1000.0,50.0,ema_low,,10,10,0,100.0,2279.32,227.93,inf,0.0,1.2,9,0
1h,next_open,1000.0,100.0,ema_low,,10,10,0,100.0,2279.32,227.93,inf,0.0,1.2,9,0
1h,next_open,1000.0,150.0,ema_low,,10,10,0,100.0,2279.32,227.93,inf,0.0,1.2,9,0
1h,signal_close,400.0,50.0,ema_low,,10,10,0,100.0,2265.82,226.58,inf,0.0,2.2,9,0
1h,signal_close,400.0,100.0,ema_low,,10,10,0,100.0,2265.82,226.58,inf,0.0,2.2,9,0
1h,signal_close,400.0,150.0,ema_low,,10,10,0,100.0,2265.82,226.58,inf,0.0,2.2,9,0
1h,signal_close,500.0,50.0,ema_low,,10,10,0,100.0,2265.82,226.58,inf,0.0,2.2,9,0
1h,signal_close,500.0,100.0,ema_low,,10,10,0,100.0,2265.82,226.58,inf,0.0,2.2,9,0
1h,signal_close,500.0,150.0,ema_low,,10,10,0,100.0,2265.82,226.58,inf,0.0,2.2,9,0
1h,signal_close,600.0,50.0,ema_low,,10,10,0,100.0,2265.82,226.58,inf,0.0,2.2,9,0
1h,signal_close,600.0,100.0,ema_low,,10,10,0,100.0,2265.82,226.58,inf,0.0,2.2,9,0
1h,signal_close,600.0,150.0,ema_low,,10,10,0,100.0,2265.82,226.58,inf,0.0,2.2,9,0
1h,signal_close,800.0,50.0,ema_low,,10,10,0,100.0,2265.82,226.58,inf,0.0,2.2,9,0
1h,signal_close,800.0,100.0,ema_low,,10,10,0,100.0,2265.82,226.58,inf,0.0,2.2,9,0
1h,signal_close,800.0,150.0,ema_low,,10,10,0,100.0,2265.82,226.58,inf,0.0,2.2,9,0
1h,signal_close,1000.0,50.0,ema_low,,10,10,0,100.0,2265.82,226.58,inf,0.0,2.2,9,0
1h,signal_close,1000.0,100.0,ema_low,,10,10,0,100.0,2265.82,226.58,inf,0.0,2.2,9,0
1h,signal_close,1000.0,150.0,ema_low,,10,10,0,100.0,2265.82,226.58,inf,0.0,2.2,9,0
1h,signal_close,1000.0,200.0,fixed_rr,2.0,5,3,2,60.0,2011.5,402.3,2.006,-1000.0,18.6,2,2
1h,next_open,1000.0,200.0,fixed_rr,2.0,5,3,2,60.0,2011.0,402.2,2.006,-1000.0,17.6,2,2
